image,title,author,technical,support_material,date
https://content3.cdnprado.net/imagenes/Documentos/imgsem/c7/c775/c77507a1-380c-40af-8765-615ffe20aa87/f6ea0e89-4b19-4ff3-998d-6a5df5231020_268.jpg,San Juan Bautista,Anonimo,Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/62/6235/62355f41-0e43-449e-a55d-abf01280975d/6600fe82-fcb8-4920-8253-108bcf2be3cf_268.jpg,Adoracion de los pastores,"Romano, Giulio; Penni, Giovanni Francesco",Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/52/52b0/52b0d09e-77e5-4af6-9ea7-50d981399069/99a7510d-c045-4157-9dd4-dc83401e1f14_268.jpg,Sagrada Familia,"Luini, Bernardino",Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/e8/e85b/e85bd437-587a-4b04-8920-a48ed432add2/7a46eb0c-37fe-4123-bd0c-00034438adfa_268.jpg,La Sagrada Familia,"Puligo, Domenico",Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/de/de98/de98cef9-efab-4042-ae19-cb12da8beea0/c8a33131-4d01-4e6a-81a4-42c7344ecc8f_268.jpg,Noli me tangere,"Romano, Giulio",Oleo , tabla,1500
https://content2.cdnprado.net/imagenes/Documentos/imgsem/ac/ac0a/ac0a2811-50c0-4bee-a908-f740741ef659/c4d24335-d52c-4a7d-9b45-187fa229b6db_268.jpg,Pietro Bembo como prior de la Orden de San Juan de Jerusalen,Anonimo,Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/af/afe6/afe6ce10-0ce6-4023-ae07-fd03c7a1000e/f4750e04-07cd-44a5-9cdb-cc4f7508e39c_268.jpg,Sagrada Familia con San Juanito,"Sarto, Andrea del -Pintor- (Copia)",Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/51/51b1/51b100dc-8a3c-46ef-9679-23c4ed442e83/8e156346-7ec8-48b3-be94-57dc29ce5375_268.jpg,Saturno con el signo de Capricornio,"Facchetti, Pietro",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/eb/eb3a/eb3ae729-180a-45de-938e-3bb8133b080f/7b60d613-6cda-458d-9457-ec5b82f2eda6_268.jpg,Sagrada Familia dell'Impannata,Rafael (Copia),Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/55/5568/556824ff-6bf8-4273-8d1f-0da96c700d36/2371b4d3-8bee-4f68-a336-df7f490665c5_268.jpg,"La Virgen con el Niño, San Juan y angeles","Sarto, Andrea del (Copia)",Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/45/4569/45694259-c4f7-43ea-9aa5-337431b1e6e5/e34dd348-4bdc-4611-85f5-4c7a7389ca91_268.jpg,La Virgen con el Niño,"Sarto, Andrea del (Taller de)",Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/8d/8d74/8d74c766-5d11-4726-8045-9ad251de8a46/0e65634a-fa23-4104-94f9-c194cc376554_268.jpg,Ecce Homo,"Piombo, Sebastiano del (Copia)",Oleo , tabla,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/69/69e3/69e386e0-12f2-483c-a321-c955fb523b0a/03ce01eb-3c0d-4b56-a2cb-8c6a2e3988dc_268.jpg,Pedro de Medici,Anonimo,Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/a0/a0ee/a0eed7a7-61b7-404a-80c2-fdf2bbd413c0/a4f7b3f8-31f6-4193-8a40-e29593b27109_268.jpg,Un senador o secretario veneciano,"Tintoretto, Jacopo Robusti",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/d2/d2a4/d2a411a5-f57d-49f8-8928-208111a544a5/467894f3-d1c8-488c-adfd-37af43589e83_268.jpg,Un jesuita,"Tintoretto, Jacopo Robusti",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/e9/e9fd/e9fdb2af-2039-4df0-b8e2-ec7cd765069a/060d2287-70a8-46ad-803e-94a0f22fbd80_268.jpg,Busto de hombre,Anonimo,Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/35/350b/350b4a86-78cd-420f-b849-ca80ac2aa780/046558da-d66e-4ab5-ac7a-c3b4db22f482_268.jpg,Un magistrado veneciano,"Tintoretto, Jacopo Robusti",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/37/378d/378d04cf-c440-43be-815c-478807eb6afc/57b2b9a0-a8bc-40c9-bf5d-51ad1893f4d8_268.jpg,Un patricio veneciano,"Tintoretto, Jacopo Robusti",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/e6/e624/e6247fe7-a262-4ba1-8055-b9dee0c66986/abfcff74-153e-46d9-b4db-e2e9622b371e_268.jpg,Un senador veneciano,"Palma el Joven, Jacopo",Oleo , lienzo,1500
https://content2.cdnprado.net/imagenes/Documentos/imgsem/01/0153/01537e73-81d3-47ca-9578-3a93cf5cbe97/5eeabe78-2c4b-4284-9f83-e08357cc7680_268.jpg,Judit y Holofernes,"Tintoretto, Domenico",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/33/33c7/33c7aaf1-109b-4d65-9e60-0b3ad03b4b6c/75f1fb25-286d-4562-8da1-ae093a70eaee_268.jpg,La violencia de Tarquino,"Tintoretto, Jacopo Robusti (Taller de)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/48/4886/48863987-adf0-472a-b8cf-823dc86e3df1/0541014d-9495-481e-92b0-c153268b0622_268.jpg,Dama veneciana,"Tintoretta, Marietta Robusti",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/32/3240/32401132-381f-490f-a23b-e372b04c2e16/db6a0273-d158-4e89-9629-a1889c057977_268.jpg,Paolo Contarini,Anonimo,Oleo , lienzo,1500
https://content2.cdnprado.net/imagenes/Documentos/imgsem/79/7960/7960c98e-c8bd-4a2f-af3f-8d8bba79abd1/1baba89b-d2f9-47fd-9923-0c1d671a04b2_268.jpg,Retrato de caballero,"Tintoretto, Jacopo Robusti",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/30/302f/302fbd60-3d63-4276-a888-a7cd66805a05/957989ee-eccb-464d-8d3b-e07f29989458_268.jpg,Adoracion de los Reyes Magos,"Tiziano, Vecellio Di Gregorio",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/93/934d/934d2176-c151-4ace-853b-471ca9ddef17/6944b0c8-4e22-472c-b1ed-7c603645f8d7_268.jpg,Descanso en la Huida a Egipto,Anonimo,Oleo , lienzo,1500
https://content1.cdnprado.net/imagenes/Documentos/imgsem/c9/c98e/c98e4f94-02cc-43e4-98d1-2ffa8df45bdd/5c74c253-9cde-4b2d-a2e2-ea72d0dbb588_268.jpg,La Virgen en contemplacion,"Tiziano, Vecellio Di Gregorio (Escuela de)",Oleo , lienzo,1500
https://content3.cdnprado.net/imagenes/Documentos/imgsem/a8/a8b0/a8b0a629-5ddf-415f-bc65-68601a18c0ad/d8724304-b69e-4f81-ab72-61110a645b21_268.jpg,Fernando I de Hungria y Bohemia,"Tiziano, Vecellio Di Gregorio (Obra Copiada de)",Oleo , lienzo,1500
